stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,vehicle_type
0100053332,bstdjmw,"Bedminster Down, Brooklyn Road (Stop A)",51.42652,-2.61034,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053332,3
0100053333,bstdjdm,"Bedminster Down, Brooklyn Road (S-bound)",51.42468,-2.61138,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053333,3
0100053334,bstdgjm,"Bedminster Down, Lewis Road (N-bound)",51.4247,-2.61346,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053334,3
0100053335,bstdgtd,"Bedminster Down, Lewis Road (N-bound)",51.42704,-2.61247,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053335,3
0100053337,bstdpma,"Bedminster, Bedminster Road (NE-bound)",51.43332,-2.60391,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053337,3
0100053338,bstdpgj,"Bedminster, Bedminster Road (SW-bound)",51.43276,-2.60491,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053338,3
0100053339,bstdgdp,"Ashton Gate, Greenway Bush Lane (W-bound)",51.44241,-2.61429,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053339,3
0100053340,bstgdag,"Windmill Hill, Porlock Road (SW-bound, Unmarked)",51.43756,-2.59504,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053340,3
0100053342,bstjdam,"Windmill Hill, Henry St Green Street (N-bound, Unmarked)",51.44278,-2.57992,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053342,3
0100053343,bstatat,"Bower Ashton, Winterstoke Road (W-bound)",51.44059,-2.62536,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053343,3
0100053344,bstamwp,"Bower Ashton, Ashton Park School (NW-bound)",51.44035,-2.62997,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053344,3
0100053345,bstapdm,"Bower Ashton, Clanage Road (N-bound)",51.44356,-2.62848,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053345,3
0100053346,bstapgd,"Bower Ashton, Clanage Road (S-bound)",51.44354,-2.62832,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100053346,3
0100BAC30684,bstmtja,"Brislington, Hicks Gate (W-bound)",51.42648,-2.52644,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100BAC30684,3
0100BAC30685,bstmtgp,"Brislington, Hicks Gate (E-bound)",51.4266,-2.52583,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100BAC30685,3
0100BAC30742,bstmpdj,"Stockwood, Lacey Road (S-bound)",51.41598,-2.53437,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100BAC30742,3
0100BAC30743,bstmpda,"Stockwood, Lacey Road (N-bound, Unmarked)",51.41592,-2.53448,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100BAC30743,3
0100BAC30946,bstjwdw,"Whitchurch, Gilda Parade (S-bound)",51.41307,-2.55948,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100BAC30946,3
0100BAZ02458,bstpadg,"The Dings, Avon Street (E-bound, Unmarked)",51.44897,-2.57486,http://www.transportdirect.info/web2/journeyplanning/StopInformationlandingpage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0100BAZ02458,3
